name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
25609_a,true,1,2,60,ckt7.1,7.2,2351.25,772.8185023018021,2475,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25609_A,,,defaultload
25609_b,true,1,2,60,ckt7.2,7.2,2447.2,804.3557421937139,2576,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25609_B,,,defaultload
25609_c,true,1,2,60,ckt7.3,7.2,2318,761.8897558046049,2440,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25609_C,,,defaultload
25615_a,true,1,2,60,ckt7.1,7.2,2230.6,733.1627650119723,2348,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25615_A,,,defaultload
25615_b,true,1,2,60,ckt7.2,7.2,2173.6,714.427771016777,2288,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25615_B,,,defaultload
25615_c,true,1,2,60,ckt7.3,7.2,2061.5,677.5822828262264,2170,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25615_C,,,defaultload
25625_a,true,1,2,60,ckt7.1,7.2,1628.3,535.1963284627429,1714,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25625_A,,,defaultload
25625_b,true,1,2,60,ckt7.2,7.2,1881,618.2548018414417,1980,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25625_B,,,defaultload
25625_c,true,1,2,60,ckt7.3,7.2,1793.6,589.527811048809,1888,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25625_C,,,defaultload
25627_a,true,1,2,60,ckt7.1,7.2,2398.75,788.4309972977982,2525,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25627_A,,,defaultload
25627_b,true,1,2,60,ckt7.2,7.2,2248.65,739.0955131104507,2367,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25627_B,,,defaultload
25627_c,true,1,2,60,ckt7.3,7.2,2308.5,758.7672568054057,2430,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25627_C,,,defaultload
25629_a,true,1,2,60,ckt7.1,7.2,1829.7,601.393307245766,1926,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25629_A,,,defaultload
25629_b,true,1,2,60,ckt7.2,7.2,2061.5,677.5822828262264,2170,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25629_B,,,defaultload
25629_c,true,1,2,60,ckt7.3,7.2,2128,699.4397758206209,2240,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25629_C,,,defaultload
25613_a,true,1,2,60,ckt7.1,7.2,1171.35,385.0041266012614,1233,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25613_A,,,defaultload
25613_b,true,1,2,60,ckt7.2,7.2,1300.55,427.4701129903705,1369,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25613_B,,,defaultload
25613_c,true,1,2,60,ckt7.3,7.2,1117.2,367.205882305826,1176,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25613_C,,,defaultload
25617_a,true,1,2,60,ckt7.1,7.2,1597.9,525.2043316653055,1682,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25617_A,,,defaultload
25617_b,true,1,2,60,ckt7.2,7.2,1586.5,521.4573328662665,1670,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25617_B,,,defaultload
25617_c,true,1,2,60,ckt7.3,7.2,1442.1,473.9953480784386,1518,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25617_C,,,defaultload
25619_a,true,1,2,60,ckt7.1,7.2,1574.15,517.3980841673075,1657,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25619_A,,,defaultload
25619_b,true,1,2,60,ckt7.2,7.2,1435.45,471.8095987789992,1511,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25619_B,,,defaultload
25619_c,true,1,2,60,ckt7.3,7.2,1385.1,455.2603540832434,1458,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25619_C,,,defaultload
25621_a,true,1,2,60,ckt7.1,7.2,1905.7,626.3732992393595,2006,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25621_A,,,defaultload
25621_b,true,1,2,60,ckt7.2,7.2,1775.55,583.5950629503305,1869,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25621_B,,,defaultload
25621_c,true,1,2,60,ckt7.3,7.2,1983.6,651.977791032793,2088,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25621_C,,,defaultload
25601_a,true,1,2,60,ckt7.1,7.2,2212.55,727.2300169134937,2329,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25601_A,,,defaultload
25601_b,true,1,2,60,ckt7.2,7.2,2380.7,782.4982491993196,2506,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25601_B,,,defaultload
25601_c,true,1,2,60,ckt7.3,7.2,1989.3,653.8512904323126,2094,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25601_C,,,defaultload
25603_a,true,1,2,60,ckt7.1,7.2,1375.6,452.1378550840442,1448,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25603_A,,,defaultload
25603_b,true,1,2,60,ckt7.2,7.2,1363.25,448.0786063850853,1435,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25603_B,,,defaultload
25603_c,true,1,2,60,ckt7.3,7.2,1511.45,496.7895907725928,1591,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25603_C,,,defaultload
25605_a,true,1,2,60,ckt7.1,7.2,2011.15,661.0330381304707,2117,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25605_A,,,defaultload
25605_b,true,1,2,60,ckt7.2,7.2,1899.05,624.1875499399201,1999,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25605_B,,,defaultload
25605_c,true,1,2,60,ckt7.3,7.2,2091.9,687.574279623664,2202,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25605_C,,,defaultload
25611_a,true,1,2,60,ckt7.1,7.2,1351.85,444.3316075860462,1423,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25611_A,,,defaultload
25611_b,true,1,2,60,ckt7.2,7.2,1239.75,407.4861193954957,1305,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25611_B,,,defaultload
25611_c,true,1,2,60,ckt7.3,7.2,1444.95,474.9320977781984,1521,0.95,pq,0.85,1.05,-1,0,wye,kva_pf,variable,25611_C,,,defaultload
0862099-d1,true,3,4,60,s1x_0862099,0.208,16.6302,8.054373467874456,25,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
0862099-d2,true,3,4,60,s2x_0862099,0.208,16.6302,8.054373467874456,25,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
0862099-d3,true,3,4,60,s3x_0862099,0.208,16.6302,8.054373467874456,25,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
1000663-da1,true,1,2,60,s1x_1000663.1,0.24,7.995825,3.872554793915122,12.5,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_A,,,defaultload
1000663-db1,true,1,2,60,s1x_1000663.2,0.24,8.362125000000001,4.049961980917228,12.5,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_B,,,defaultload
1000663-dc1,true,1,2,60,s1x_1000663.3,0.24,8.592300000000002,4.161440821398281,12.5,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_C,,,defaultload
1000252-db1,true,1,2,60,s1x_1000252.2,0.24,12.375945,5.993943731757497,18.5,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_B,,,defaultload
1001746-d1,true,3,4,60,s1x_1001746,0.208,33.2604,16.10874693574891,50,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
1001746-d2,true,3,4,60,s2x_1001746,0.208,33.2604,16.10874693574891,50,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
1001746-d3,true,3,4,60,s3x_1001746,0.208,33.2604,16.10874693574891,50,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
1000502-db1,true,1,2,60,s1x_1000502.2,0.24,25.086375,12.14988594275168,37.5,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_B,,,defaultload
1000824-da1,true,1,2,60,s1x_1000824.1,0.24,2.665274893389,1.290851546337643,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_A,,,defaultload
1000824-da2,true,1,2,60,s2x_1000824.1,0.24,2.665274893389,1.290851546337643,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_A,,,defaultload
1000824-da3,true,1,2,60,s3x_1000824.1,0.24,2.665274893389,1.290851546337643,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_A,,,defaultload
1000824-db1,true,1,2,60,s1x_1000824.2,0.24,2.787374888505,1.349987272972916,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_B,,,defaultload
1000824-db2,true,1,2,60,s2x_1000824.2,0.24,2.787374888505,1.349987272972916,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_B,,,defaultload
1000824-db3,true,1,2,60,s3x_1000824.2,0.24,2.787374888505,1.349987272972916,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_B,,,defaultload
1000824-dc1,true,1,2,60,s1x_1000824.3,0.24,2.864099885436,1.387146884980216,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_C,,,defaultload
1000824-dc2,true,1,2,60,s2x_1000824.3,0.24,2.864099885436,1.387146884980216,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_C,,,defaultload
1000824-dc3,true,1,2,60,s3x_1000824.3,0.24,2.864099885436,1.387146884980216,4.1666665,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607_C,,,defaultload
1001745-d1,true,3,4,60,s1x_1001745,0.208,33.2604,16.10874693574891,50,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
1001745-d2,true,3,4,60,s2x_1001745,0.208,33.2604,16.10874693574891,50,0.9,cvr,0.85,1.05,-1,0,wye,allocation_factor,variable,25607,,,defaultload
