transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
sub1,1,sourcebus,delta,115,41700,1,0.000056,-1,0,1.1,0.9,32
sub1,2,ckt7.1.2.3.0,wye,12.47,41700,1,8E-6,-1,0,1.1,0.9,32
sub2,1,sourcebus,delta,115,41700,1,0.000056,-1,0,1.1,0.9,32
sub2,2,ckt7.1.2.3.0,wye,12.47,41700,1,8E-6,-1,0,1.1,0.9,32
sub3,1,sourcebus,delta,115,41700,1,0.000056,-1,0,1.1,0.9,32
sub3,2,ckt7.1.2.3.0,wye,12.47,41700,1,8E-6,-1,0,1.1,0.9,32
0862099_xfmr_abc,1,157347.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
0862099_xfmr_abc,2,x_0862099.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000663_xfmr_a,1,165442.1,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000663_xfmr_a,2,x_1000663.1,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000663_xfmr_b,1,165442.2,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000663_xfmr_b,2,x_1000663.2,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000663_xfmr_c,1,165442.3,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000663_xfmr_c,2,x_1000663.3,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000252_xfmr_b,1,165448.2,wye,7.19956121359083,37,1,0.005,-1,0,1.1,0.9,32
1000252_xfmr_b,2,x_1000252.2,wye,0.24,37,1,0.005,-1,0,1.1,0.9,32
1001652_xfmr_a,1,165450.1,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1001652_xfmr_a,2,x_1001652.1,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1001746_xfmr_abc,1,165452.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1001746_xfmr_abc,2,x_1001746.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1000502_xfmr_b,1,165453.2,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000502_xfmr_b,2,x_1000502.2,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000824_xfmr_a,1,165454.1,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000824_xfmr_a,2,x_1000824.1,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000824_xfmr_b,1,165454.2,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000824_xfmr_b,2,x_1000824.2,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000824_xfmr_c,1,165454.3,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000824_xfmr_c,2,x_1000824.3,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
